id,english,telugu
4440,I didn't want to sing.,నేను పాడటానికి ఇష్టపడలేదు.
4441,It's time for you to go home.,మీరు ఇంటికి వెళ్ళే సమయం ఇది.
4442,I don't feel like singing now.,నాకు ఇప్పుడు పాడాలని అనిపించదు.
4443,I wasn't very cold.,నేను చాలా చల్లగా లేను.
4444,I don't want to do it because it's dangerous and it's stupid.,నేను దీన్ని చేయాలనుకోవడం లేదు ఎందుకంటే ఇది ప్రమాదకరమైనది మరియు అది తెలివితక్కువతనం.
4445,Let's just go to sleep.,నిద్రపోదాం.
4446,I need something to eat.,నాకు తినడానికి ఏదైనా కావాలి.
4447,I've already been questioned by the police.,నన్ను ఇప్పటికే పోలీసులు ప్రశ్నించారు.
4448,I didn't know the deadline was today.,ఈ రోజు గడువు నాకు తెలియదు.
4449,I didn't know that you'd already bought eggs.,మీరు ఇప్పటికే గుడ్లు కొన్నారని నాకు తెలియదు.
4450,Give me my bag.,నా బ్యాగ్ ఇవ్వండి.
4451,I can't find a decent job.,నాకు మంచి ఉద్యోగం దొరకదు.
4452,I want to become a teacher of Japanese.,నేను జపనీస్ ఉపాధ్యాయుడిని కావాలనుకుంటున్నాను.
4453,I'm going to the post office.,నేను పోస్టాఫీసుకు వెళ్తున్నాను.
4454,What is this animal called in Japanese?,ఈ జంతువును జపనీస్ భాషలో పిలుస్తారు?
4455,Help me!,నాకు సాయం చెయ్యి!
4456,I have a great idea.,నాకు గొప్ప ఆలోచన ఉంది.
4457,Where is the mistake?,తప్పు ఎక్కడ ఉంది?
4458,Let's meet in front of the hotel.,హోటల్ ముందు కలుద్దాం.
4459,"I'm very sorry, but it seems I've lost my umbrella.","నన్ను క్షమించండి, కానీ నేను నా గొడుగును కోల్పోయాను."
4460,I like it better now that I'm used to it.,నేను ఇప్పుడు బాగా ఇష్టపడుతున్నాను.
4461,"There are 2,000 students in the school.",పాఠశాలలో 2 వేల మంది విద్యార్థులు ఉన్నారు.
4462,I'm good.,నేను బాగున్నాను.
4463,It's going to happen again.,ఇది మళ్ళీ జరగబోతోంది.
4464,Where is a doctor?,డాక్టర్ ఎక్కడ?
4465,I've got to go to the police.,నేను పోలీసుల వద్దకు వెళ్ళవలసి వచ్చింది.
4466,Tell me what this is.,ఇది ఏమిటో చెప్పు.
4467,I haven't gotten used to it yet.,నేను ఇంకా అలవాటుపడలేదు.
4468,"I didn't want the baby to catch a cold, so I closed the window.","శిశువుకు జలుబు రావాలని నేను కోరుకోలేదు, కాబట్టి నేను కిటికీని మూసివేసాను."
4469,I don't feel like eating sushi.,నాకు సుషీ తినాలని అనిపించదు.
4470,Let's schedule a meeting sometime early next week.,వచ్చే వారం ప్రారంభంలో ఎప్పుడైనా సమావేశాన్ని షెడ్యూల్ చేద్దాం.
4471,I hope you're not going to do that.,మీరు అలా చేయబోరని నేను నమ్ముతున్నాను.
4472,I don't sleep anymore.,నేను ఇక నిద్రపోను.
4473,I'm already a bit tipsy.,నేను ఇప్పటికే కొంచెం తాగి ఉన్నాను.
4474,I don't think that I'll need to do that.,నేను అలా చేయాల్సిన అవసరం ఉందని నేను అనుకోను.
4475,I wanted to avoid this problem.,నేను ఈ సమస్యను నివారించాలనుకున్నాను.
4476,I didn't feel like swimming yesterday.,నిన్న ఈత కొట్టాలని నాకు అనిపించలేదు.
4477,Please knock before you come in.,మీరు లోపలికి రాకముందే కొట్టుకోండి.
4478,Please check the attached file.,దయచేసి జత చేసిన ఫైల్‌ను తనిఖీ చేయండి.
4479,"I didn't do that yesterday, but I did three days ago.","నేను నిన్న అలా చేయలేదు, కానీ నేను మూడు రోజుల క్రితం చేసాను."
4480,I'm never late.,నేను ఎప్పుడూ ఆలస్యం కాదు.
4481,He is able to swim like a fish.,అతను ఒక చేప లాగా ఈత కొట్టగలడు.
4482,I don't really want to go swimming.,నేను నిజంగా ఈతకు వెళ్ళడం ఇష్టం లేదు.
4483,Don't eat while reading.,చదివేటప్పుడు తినవద్దు.
4484,Wait for me here.,నా కోసం ఇక్కడ వేచి ఉండండి.
4485,I want to become a teacher.,నేను గురువు కావాలనుకుంటున్నాను.
4486,"You're old friends, aren't you?","మీరు పాత స్నేహితులు, లేదా?"
4487,There isn't room for everyone.,అందరికీ స్థలం లేదు.
4488,I need to relax.,నేను విశ్రాంతి తీసుకోవాలి.
4489,Tell me this isn't true.,ఇది నిజం కాదని చెప్పు.
4490,It's already ten o'clock. My mother must be angry.,అప్పటికే పది గంటలు అయింది.
4491,I'm sorry. I didn't catch your name.,నన్ను క్షమించండి.
4492,You must be more careful from now on.,ఇక నుంచి మీరు మరింత జాగ్రత్తగా ఉండాలి.
4493,I am afraid of bears.,నేను ఎలుగుబంట్లకు భయపడుతున్నాను.
4494,You're a real friend.,మీరు నిజమైన స్నేహితుడు.
4495,I'll call you again.,నేను మిమ్మల్ని మళ్ళీ పిలుస్తాను.
4496,Don't come.,రావద్దు.
4497,I'm obedient.,నేను విధేయుడిని.
4498,"I don't care, and neither should you.","నేను పట్టించుకోను, నీవు కూడా ఉండకూడదు."
4499,What are you going to do today?,మీరు ఈ రోజు ఏమి చేయబోతున్నారు?
4500,I have something that I want to say to him.,నేను అతనితో చెప్పదలచుకున్నది నా దగ్గర ఉంది.
4501,Could you please leave the room?,మీరు గదిని వదిలి వెళ్ళగలరా?
4502,Let's finish up in a hurry.,ఆతురుతలో ముగించుకుందాం.
4503,I have no idea how it works.,ఇది ఎలా పనిచేస్తుందో నాకు తెలియదు.
4504,It's time to do it.,ఇది చేయవలసిన సమయం.
4505,I've not been feeling very well lately.,నేను ఈ మధ్య చాలా బాగా అనుభూతి చెందలేదు.
4506,How long does it take to walk to your house from here?,ఇక్కడ నుండి మీ ఇంటికి నడవడానికి ఎంత సమయం పడుతుంది?
4507,I know what time it is.,ఇది ఏ సమయంలో ఉందో నాకు తెలుసు.
4508,How many people work here?,ఇక్కడ ఎంత మంది పని చేస్తారు?
4509,I'm going to ask him for an autograph. Do you have anything to write with?,నేను అతనిని ఆటోగ్రాఫ్ కోసం అడగబోతున్నాను.
4510,You should work hard.,మీరు కష్టపడాలి.
4511,I'll tell you what I'm going to do.,నేను ఏమి చేయబోతున్నానో మీకు చెప్తాను.
4512,I'm not likely to forget how to do that.,నేను ఎలా చేయాలో మర్చిపోయే అవకాశం లేదు.
4513,I want to study French.,నేను ఫ్రెంచ్ చదువుకోవాలనుకుంటున్నాను.
4514,I'm considering going to Boston.,నేను బోస్టన్‌కు వెళ్లాలని ఆలోచిస్తున్నాను.
4515,You must help her.,మీరు ఆమెకు సహాయం చేయాలి.
4516,I want the same dictionary that your sister has.,మీ సోదరికి ఉన్న అదే నిఘంటువు నాకు కావాలి.
4517,I'll be ready in a few moments.,నేను కొన్ని క్షణాల్లో సిద్ధంగా ఉంటాను.
4518,Please don't follow this advice.,దయచేసి ఈ సలహాను పాటించవద్దు.
4519,What is she doing in his office?,ఆమె అతని కార్యాలయంలో ఏమి చేస్తోంది?
4520,I want to visit Cuba before Castro dies.,కాస్ట్రో చనిపోయే ముందు నేను క్యూబాను సందర్శించాలనుకుంటున్నాను.
4521,"It is windy today, isn't it?","ఈ రోజు గాలులతో కూడుకున్నది, కాదా?"
4522,I loved both the movie I saw today and the one I saw yesterday.,ఈ రోజు నేను చూసిన సినిమా మరియు నిన్న చూసిన సినిమా రెండూ నాకు బాగా నచ్చాయి.
4523,Let's call it a day.,దీనిని ఒక రోజు పిలుద్దాం.
4524,"I want one, but not this one.","నాకు ఒకటి కావాలి, కానీ ఇది కాదు."
4525,Please don't drive so fast.,దయచేసి అంత వేగంగా డ్రైవ్ చేయవద్దు.
4526,I have something I need to explain to you.,నేను మీకు వివరించాల్సిన విషయం నా దగ్గర ఉంది.
4527,I'm eating my lunch.,నేను నా భోజనం తింటున్నాను.
4528,I'm visiting my grandmother in the hospital.,నేను ఆసుపత్రిలో నానమ్మను సందర్శిస్తున్నాను.
4529,It's nothing to be afraid of.,ఇది భయపడాల్సిన పనిలేదు.
4530,I'll give you a book.,నేను మీకు ఒక పుస్తకం ఇస్తాను.
4531,I love to read books.,నాకు పుస్తకాలు చదవడం చాలా ఇష్టం.
4532,I want to walk.,నేను నడవాలనుకుంటున్నాను.
4533,I like this school.,నాకు ఈ పాఠశాల అంటే ఇష్టం.
4534,You must learn English whether you like it or not.,"మీకు నచ్చినా, ఇష్టపడకపోయినా మీరు ఇంగ్లీష్ నేర్చుకోవాలి."
4535,I didn't want any of my friends to know that I had been in prison.,నేను జైలులో ఉన్నానని నా స్నేహితులు ఎవరూ తెలుసుకోవాలనుకోలేదు.
4536,I'm very afraid of snakes.,నేను పాములకు చాలా భయపడుతున్నాను.
4537,How long are you going to stay here?,మీరు ఎంతకాలం ఇక్కడే ఉండబోతున్నారు?
4538,I hope you were able to buy everything you need.,మీకు అవసరమైన ప్రతిదాన్ని మీరు కొనుగోలు చేయగలిగారు అని నేను నమ్ముతున్నాను.
4539,We have supper at six every evening.,ప్రతి సాయంత్రం ఆరు గంటలకు మాకు భోజనం ఉంటుంది.
4540,I'm going to study architecture.,నేను ఆర్కిటెక్చర్ అధ్యయనం చేయబోతున్నాను.
4541,I'll come at 2:30.,నేను 2:30 కి వస్తాను.
4542,Please don't go in there.,దయచేసి అక్కడికి వెళ్లవద్దు.
4543,I don't want your sympathy.,మీ సానుభూతి నాకు అక్కరలేదు.
4544,I think someone's at the door.,ఎవరో తలుపు వద్ద ఉన్నారని నేను అనుకుంటున్నాను.
4545,"Stop it, please.",దయచేసి ఆపు.
4546,Tell me his name.,అతని పేరు చెప్పు.
4547,I'll go and get you something to drink.,నేను వెళ్లి నీకు తాగడానికి ఏదైనా తెస్తాను.
4548,You're acting like a small child.,మీరు చిన్నపిల్లలా వ్యవహరిస్తున్నారు.
4549,You shouldn't eat raw snails.,మీరు ముడి నత్తలను తినకూడదు.
4550,I didn't eat all the cookies.,నేను అన్ని కుకీలను తినలేదు.
4551,I'm not neat.,నేను చక్కగా లేను.
4552,I didn't want to leave without saying thank you.,నేను థాంక్స్ చెప్పకుండా బయలుదేరడానికి ఇష్టపడలేదు.
4553,I hate this job.,నేను ఈ ఉద్యోగాన్ని ద్వేషిస్తున్నాను.
4554,I don't feel like studying.,నాకు చదువుకోవాలని అనిపించదు.
4555,Don't threaten me.,నన్ను బెదిరించవద్దు.
4556,I'm not going to sue you.,నేను మీపై దావా వేయను.
4557,I don't think she is fit for the job.,ఆమె ఉద్యోగానికి సరిపోతుందని నేను అనుకోను.
4558,I can't tell you everything.,నేను మీకు ప్రతిదీ చెప్పలేను.
4559,Can you tell butter from margarine?,వనస్పతి నుండి వెన్న చెప్పగలరా?
4560,Don't you think it's wrong to cheat on an examination?,పరీక్షలో మోసం చేయడం తప్పు అని మీరు అనుకోలేదా?
4561,He is always as busy as a bee.,అతను ఎల్లప్పుడూ తేనెటీగ వలె బిజీగా ఉంటాడు.
4562,I have to hurry. My flight leaves in an hour.,నేను తొందరపడాలి.
4563,I'm waiting for the train.,నేను రైలు కోసం ఎదురు చూస్తున్నాను.
4564,I know that I was mistaken.,నేను పొరపాటు పడ్డానని నాకు తెలుసు.
4565,Give me my beer.,నా బీరు ఇవ్వండి.
4566,You should've phoned me.,మీరు నాకు ఫోన్ చేసి ఉండాలి.
4567,I'm here as a friend.,నేను ఇక్కడ స్నేహితుడిగా ఉన్నాను.
4568,I'll be in my car.,నేను నా కారులో ఉంటాను.
4569,I wanted you to win.,మీరు గెలవాలని నేను కోరుకున్నాను.
4570,It is my dream to become a teacher.,గురువు కావాలన్నది నా కల.
4571,I am afraid the loss will amount to one hundred million dollars.,నష్టం వంద మిలియన్ డాలర్లు అవుతుందని నేను భయపడుతున్నాను.
4572,You're going to need help.,మీకు సహాయం కావాలి.
4573,I don't wait for anybody.,నేను ఎవరికోసం వేచి ఉండను.
4574,Where is my book?,నా పుస్తకము ఎక్కడ?
4575,I think it's time for us to go.,నేను వెళ్ళడానికి ఇది సమయం అని నేను అనుకుంటున్నాను.
4576,I have a lot of things to tell you.,మీకు చెప్పడానికి నా దగ్గర చాలా విషయాలు ఉన్నాయి.
4577,I believe men are basically good.,పురుషులు ప్రాథమికంగా మంచివారని నేను నమ్ముతున్నాను.
4578,I think we've got enough money.,మనకు తగినంత డబ్బు వచ్చిందని నేను అనుకుంటున్నాను.
4579,I don't think I'd be able to do that without any help.,నేను ఎటువంటి సహాయం లేకుండా చేయగలనని అనుకోను.
4580,I'm afraid I won't finish the report on time.,నేను నివేదికను సమయానికి పూర్తి చేయలేనని భయపడుతున్నాను.
4581,I'm a very light sleeper.,నేను చాలా లైట్ స్లీపర్.
4582,It's too hot and I'm very tired.,ఇది చాలా వేడిగా ఉంది మరియు నేను చాలా అలసిపోయాను.
4583,I want you to stop doing that.,మీరు అలా చేయడం మానేయాలని నేను కోరుకుంటున్నాను.
4584,I don't want to do this here.,నేను దీన్ని ఇక్కడ చేయాలనుకోవడం లేదు.
4585,I don't want to know any more.,నేను ఇక తెలుసుకోవాలనుకోవడం లేదు.
4586,I can't give you anything.,నేను మీకు ఏమీ ఇవ్వలేను.
4587,I think he'll come.,అతను వస్తాడని అనుకుంటున్నాను.
4588,I'll pay you next week.,వచ్చే వారం మీకు చెల్లిస్తాను.
4589,I'm sorry that happened to you.,మీకు జరిగినందుకు క్షమించండి.
4590,I have caught a cold.,నాకు జలుబు వచ్చింది.
4591,I don't think it will rain this afternoon.,ఈ మధ్యాహ్నం వర్షం పడుతుందని నేను అనుకోను.
4592,I know you don't like Boston.,మీకు బోస్టన్ నచ్చదని నాకు తెలుసు.
4593,It's been reported that you're wasting money.,మీరు డబ్బు వృధా చేస్తున్నారని నివేదించబడింది.
4594,I like to fish.,నాకు చేపలు పట్టడం ఇష్టం.
4595,I need to go shopping.,నేను షాపింగ్‌కు వెళ్లాలి.
4596,It isn't as cold today as it was yesterday.,ఇది నిన్నటిలాగా ఈ రోజు చల్లగా లేదు.
4597,I like seafood.,నాకు సీఫుడ్ అంటే ఇష్టం.
4598,I want to win this game.,నేను ఈ ఆట గెలవాలనుకుంటున్నాను.
4599,I'm sorry for shouting at you.,నిన్ను అరవడం కోసం నన్ను క్షమించండి.
4600,I think my husband spends too much money.,నా భర్త ఎక్కువ డబ్బు ఖర్చు చేస్తాడని అనుకుంటున్నాను.
4601,I think they like you.,వారు మిమ్మల్ని ఇష్టపడుతున్నారని నేను అనుకుంటున్నాను.
4602,What are we going to do with that?,దానితో మనం ఏమి చేయబోతున్నాం?
4603,I didn't want the truth to come out.,నిజం బయటకు రావాలని నేను కోరుకోలేదు.
4604,I want a new knife.,నాకు కొత్త కత్తి కావాలి.
4605,I need 30 minutes.,నాకు 30 నిమిషాలు కావాలి.
4606,Please listen to us.,దయచేసి మా మాట వినండి.
4607,I think it's dangerous for children to swim in this lake.,ఈ సరస్సులో పిల్లలు ఈత కొట్టడం ప్రమాదకరమని నా అభిప్రాయం.
4608,Don't slump in your chair.,మీ కుర్చీలో మందగించవద్దు.
4609,I think you need to figure this out on your own.,మీరు దీన్ని మీ స్వంతంగా గుర్తించాల్సిన అవసరం ఉందని నేను భావిస్తున్నాను.
4610,I don't know how to thank you.,ఎలా ధన్యవాదాలు చెప్పాలో నాకు తెలియదు.
4611,You shouldn't have eaten so much ice cream.,మీరు అంత ఐస్ క్రీం తినకూడదు.
4612,Don't you like baseball?,మీకు బేస్ బాల్ నచ్చలేదా?
4613,I'm telling you this confidentially.,నేను మీకు ఈ విషయాన్ని రహస్యంగా చెబుతున్నాను.
4614,I didn't think I was going to win.,నేను గెలవబోతున్నానని అనుకోలేదు.
4615,I feel better already.,నేను ఇప్పటికే బాగానే ఉన్నాను.
4616,I wasn't sure if I had enough money.,నా దగ్గర తగినంత డబ్బు ఉందో లేదో నాకు తెలియదు.
4617,I'm so tired that I don't feel like studying tonight.,"నేను చాలా అలసిపోయాను, ఈ రాత్రి చదువుకోవాలని నాకు అనిపించదు."
4618,Can you do that today?,ఈ రోజు మీరు అలా చేయగలరా?
4619,You're going to be seen.,మీరు చూడబోతున్నారు.
4620,I'm thinking of going abroad.,నేను విదేశాలకు వెళ్ళాలని ఆలోచిస్తున్నాను.
4621,I have friends.,నాకు స్నేహితులు ఉన్నారు.
4622,I have someplace to go.,నాకు ఎక్కడికి వెళ్ళాలి.
4623,I forgot the map.,నేను మ్యాప్‌ను మరచిపోయాను.
4624,I wish I could figure out how to finish this project without asking for help.,సహాయం అడగకుండానే ఈ ప్రాజెక్ట్‌ను ఎలా పూర్తి చేయాలో నేను గుర్తించగలను.
4625,I was hoping I wouldn't have to work on Sunday.,నేను ఆదివారం పని చేయనవసరం లేదని నేను ఆశపడ్డాను.
4626,You are not welcome in my home anymore.,మీకు ఇకపై నా ఇంట్లో స్వాగతం లేదు.
4627,Can you tell me what this symbol means?,ఈ గుర్తు అంటే ఏమిటో మీరు నాకు చెప్పగలరా?
4628,I'm not going with you.,నేను మీతో వెళ్ళడం లేదు.
4629,I'm not going to see anybody else.,నేను మరెవరినీ చూడను.
4630,I want to shake your hand.,నేను మీ చేయి కదిలించాలనుకుంటున్నాను.
4631,I need to make some phone calls.,నేను కొన్ని ఫోన్ కాల్స్ చేయాలి.
4632,Let's go back in.,తిరిగి లోపలికి వెళ్దాం.
4633,I'll talk to you in the morning.,నేను ఉదయం మీతో మాట్లాడతాను.
4634,I like this one best.,నేను దీన్ని బాగా ఇష్టపడుతున్నాను.
4635,I've got mine.,నేను గని పొందాను.
4636,I feel like I'm the heroine of a romance novel.,నేను రొమాన్స్ నవల హీరోయిన్ అని భావిస్తున్నాను.
4637,Let me put down your new phone number in my notebook.,మీ క్రొత్త ఫోన్ నంబర్‌ను నా నోట్‌బుక్‌లో ఉంచండి.
4638,What is it that you want to ask me?,మీరు నన్ను అడగాలనుకుంటున్నది ఏమిటి?
4639,I'll open the door for you.,నేను మీ కోసం తలుపు తెరుస్తాను.
4640,You're strange sometimes.,మీరు కొన్నిసార్లు వింతగా ఉంటారు.
4641,I feel so lonely sometimes.,నేను కొన్నిసార్లు ఒంటరిగా ఉన్నాను.
4642,I need a new mattress.,నాకు కొత్త mattress కావాలి.
4643,I want to contact him. Do you know his phone number?,నేను అతనిని సంప్రదించాలనుకుంటున్నాను.
4644,I don't have time to help you right now.,మీకు సహాయం చేయడానికి నాకు ప్రస్తుతం సమయం లేదు.
4645,I'll go back to Boston.,నేను బోస్టన్‌కు తిరిగి వెళ్తాను.
4646,I can't go to the cops.,నేను పోలీసుల వద్దకు వెళ్ళలేను.
4647,Don't forget to turn off the gas before you leave the house.,మీరు ఇంటి నుండి బయలుదేరే ముందు గ్యాస్ ఆపివేయడం మర్చిపోవద్దు.
4648,I don't have time for this.,దీనికి నాకు సమయం లేదు.
4649,Tell me in plain English.,సాదా ఆంగ్లంలో చెప్పు.
4650,Where is my plate?,నా ప్లేట్ ఎక్కడ ఉంది?
4651,I don't like jazz.,నాకు జాజ్ నచ్చలేదు.
4652,Where is my office?,నా కార్యాలయం ఎక్కడ ఉంది?
4653,It's none of your business.,ఇది మీకు సంబంధించిన విషయం కాదు.
4654,I think I'd be a good teacher.,నేను మంచి గురువు అవుతాను.
4655,Don't come so early next time.,తదుపరిసారి అంత తొందరగా రాకండి.
4656,I love the taste of watermelon.,నేను పుచ్చకాయ రుచిని ప్రేమిస్తున్నాను.
4657,I'll give you a hint.,నేను మీకు సూచన ఇస్తాను.
4658,Could you please give me back my key?,మీరు నా కీని తిరిగి ఇవ్వగలరా?
4659,It isn't going to rain this evening.,ఈ సాయంత్రం వర్షం పడదు.
4660,I'm not in the least afraid of it.,నేను దాని గురించి కనీసం భయపడను.
4661,I have already finished reading this book.,నేను ఇప్పటికే ఈ పుస్తకం చదవడం ముగించాను.
4662,How much time has passed?,ఎంత సమయం గడిచింది?
4663,"I have to lose weight, so I'm going on a diet.","నేను బరువు తగ్గాలి, కాబట్టి నేను డైట్‌లో వెళుతున్నాను."
4664,How much time do you spend watching TV?,మీరు టీవీ చూడటానికి ఎంత సమయం గడుపుతారు?
4665,Can you tell me what this is about?,దీని గురించి మీరు నాకు చెప్పగలరా?
4666,How far is it from here to the hotel?,ఇక్కడి నుండి హోటల్‌కు ఎంత దూరంలో ఉంది?
4667,It's like shooting fish in a barrel.,ఇది చేపలను బారెల్‌లో కాల్చడం లాంటిది.
4668,I'm going to do that even though I know it's dangerous.,ఇది ప్రమాదకరమని నాకు తెలిసినప్పటికీ నేను అలా చేయబోతున్నాను.
4669,I haven't had time.,నాకు సమయం లేదు.
4670,I've forgotten the words to that song.,నేను ఆ పాటలోని పదాలను మరచిపోయాను.
4671,I don't think that I can love two people at the same time.,నేను ఒకే సమయంలో ఇద్దరు వ్యక్తులను ప్రేమించగలనని అనుకోను.
4672,How long ago did the bus leave?,ఎంతకాలం క్రితం బస్సు బయలుదేరింది?
4673,I think this is a good rule.,ఇది మంచి నియమం అని నా అభిప్రాయం.
4674,I was given a ten percent discount.,నాకు పది శాతం తగ్గింపు ఇచ్చారు.
4675,Would you like to eat lunch with me?,మీరు నాతో భోజనం చేయాలనుకుంటున్నారా?
4676,I was ready for it.,నేను దానికి సిద్ధంగా ఉన్నాను.
4677,Could you please get me a taxi?,మీరు నాకు టాక్సీ తీసుకోవచ్చా?
4678,Don't come home too late.,చాలా ఆలస్యంగా ఇంటికి రావద్దు.
4679,How many hours does it take to fly to Boston?,బోస్టన్‌కు వెళ్లడానికి ఎన్ని గంటలు పడుతుంది?
4680,I don't like bad boys.,నేను చెడ్డ అబ్బాయిలను ఇష్టపడను.
4681,I hope they like me.,వారు నన్ను ఇష్టపడతారని నేను నమ్ముతున్నాను.
4682,I need to exercise.,నేను వ్యాయామం చేయాలి.
4683,Can you tell the Jackson twins apart?,మీరు జాక్సన్ కవలలను వేరుగా చెప్పగలరా?
4684,You must clean your room.,మీరు మీ గదిని శుభ్రం చేయాలి.
4685,I've read every book in the library.,నేను లైబ్రరీలోని ప్రతి పుస్తకాన్ని చదివాను.
4686,She is less intelligent than you.,ఆమె మీ కంటే తక్కువ తెలివిగలది.
4687,It's not your money that I want.,ఇది మీ డబ్బు కాదు.
4688,"Don't let go of my hand, or you'll get lost.","నా చేతిని వీడకండి, లేదా మీరు కోల్పోతారు."
4689,I didn't have time to think about it.,దాని గురించి ఆలోచించడానికి నాకు సమయం లేదు.
4690,I need you to show me what you have in your bag.,మీ సంచిలో ఉన్నదాన్ని మీరు నాకు చూపించాల్సిన అవసరం ఉంది.
4691,Please promise you won't tell anyone,దయచేసి మీరు ఎవరికీ చెప్పరని వాగ్దానం చేయండి
4692,I don't want anyone else to know.,మరెవరూ తెలుసుకోవాలనుకోవడం లేదు.
4693,I don't need this much.,నాకు ఇది చాలా అవసరం లేదు.
4694,Don't you have a sister?,మీకు సోదరి లేదా?
4695,I've got to get back to Boston.,నేను బోస్టన్‌కు తిరిగి రావాలి.
4696,I know that you need to do that.,మీరు అలా చేయాల్సిన అవసరం ఉందని నాకు తెలుసు.
4697,I need everybody's help.,నాకు అందరి సహాయం కావాలి.
4698,I like your smile.,నేను నీ నవ్వును ఇష్టపడతాను.
4699,I'll always be your friend.,నేను ఎప్పుడూ మీ స్నేహితుడిగా ఉంటాను.
4700,I'm not very good at French.,నేను ఫ్రెంచ్‌లో అంత బాగా లేను.
4701,I think this is a good project.,ఇది మంచి ప్రాజెక్ట్ అని నా అభిప్రాయం.
4702,I don't think that I can afford to buy a new computer now.,నేను ఇప్పుడు క్రొత్త కంప్యూటర్‌ను కొనగలనని అనుకోను.
4703,I need to take an exam in January.,నేను జనవరిలో పరీక్ష రాయాలి.
4704,"I'm busy, too.",నేను కూడా బిజీగా ఉన్నాను.
4705,I don't think that's going to work.,అది పని చేయబోతోందని నేను అనుకోను.
4706,I don't feel like celebrating.,సంబరాలు చేసుకోవాలని నాకు అనిపించదు.
4707,I need help doing this.,దీన్ని చేయడానికి నాకు సహాయం కావాలి.
4708,Don't tell my wife that.,నా భార్యకు అలా చెప్పకండి.
4709,I don't like her face.,ఆమె ముఖం నాకు నచ్చలేదు.
4710,I like apples best.,నాకు ఆపిల్ల బాగా ఇష్టం.
4711,I was kept waiting nearly half an hour.,నేను దాదాపు అరగంట వేచి ఉన్నాను.
4712,I hate carrots.,నేను క్యారెట్లను ద్వేషిస్తున్నాను.
4713,I need to understand the meaning of this sentence.,ఈ వాక్యం యొక్క అర్ధాన్ని నేను అర్థం చేసుకోవాలి.
4714,How long should I wait here?,నేను ఇక్కడ ఎంతసేపు వేచి ఉండాలి?
4715,Let's not waste any more time.,ఇక సమయం వృథా చేయనివ్వండి.
4716,I'm pretty sure that it won't snow today.,ఈ రోజు మంచు పడదని నాకు చాలా ఖచ్చితంగా తెలుసు.
4717,You're working too hard. Take it easy for a while.,మీరు చాలా కష్టపడుతున్నారు.
4718,Let's take the elevator.,ఎలివేటర్ తీసుకుందాం.
4719,Please help me pick out a sweater which matches my new dress.,దయచేసి నా కొత్త దుస్తులతో సరిపోయే స్వెటర్ తీయటానికి నాకు సహాయం చెయ్యండి.
4720,Let's go eat.,తినడానికి వెళ్దాం.
4721,I want to go home and sleep.,నేను ఇంటికి వెళ్లి నిద్రించాలనుకుంటున్నాను.
4722,I have a jealous husband.,నాకు అసూయపడే భర్త ఉన్నారు.
4723,Can you give me a better explanation?,మీరు నాకు మంచి వివరణ ఇవ్వగలరా?
4724,I need a calendar.,నాకు క్యాలెండర్ అవసరం.
4725,I'm here to help in any way I can.,నేను ఏ విధంగానైనా సహాయం చేయడానికి ఇక్కడ ఉన్నాను.
4726,How many SIM cards do you have?,మీకు ఎన్ని సిమ్ కార్డులు ఉన్నాయి?
4727,I was able to finish the work earlier than I had expected.,నేను than హించిన దానికంటే ముందే పనిని పూర్తి చేయగలిగాను.
4728,I feel very cold.,నాకు చాలా చల్లగా అనిపిస్తుంది.
4729,What are they trying to tell me?,వారు నాకు ఏమి చెప్పడానికి ప్రయత్నిస్తున్నారు?
4730,What is better than friendship?,స్నేహం కంటే ఏది మంచిది?
4731,I don't recall doing that.,నేను అలా చేయడం గుర్తులేదు.
4732,I want this guitar.,నాకు ఈ గిటార్ కావాలి.
4733,I've been busy all week.,నేను వారమంతా బిజీగా ఉన్నాను.
4734,I'm watering the plants.,నేను మొక్కలకు నీళ్ళు పోస్తున్నాను.
4735,I think everyone had a good time.,అందరికీ మంచి సమయం ఉందని నా అభిప్రాయం.
4736,"I know he will only continue disappointing me, but I can't help loving him.","అతను నన్ను నిరాశపరుస్తూనే ఉంటాడని నాకు తెలుసు, కాని నేను అతనిని ప్రేమించడంలో సహాయం చేయలేను."
4737,You're wasting your time.,మీరు మీ సమయాన్ని వృథా చేస్తున్నారు.
4738,I hope he will come.,అతను వస్తాడని నేను ఆశిస్తున్నాను.
4739,What is the good of doing it?,దీన్ని చేయడం మంచిది?
4740,I need to know that someone cares.,ఎవరైనా పట్టించుకుంటారని నేను తెలుసుకోవాలి.
4741,Don't ask me for money.,నన్ను డబ్బు అడగవద్దు.
4742,I want you to tell me everything.,మీరు నాకు అన్నీ చెప్పాలని నేను కోరుకుంటున్నాను.
4743,I'm not sure I'm ready to do this.,నేను దీన్ని చేయడానికి సిద్ధంగా ఉన్నానని నాకు ఖచ్చితంగా తెలియదు.
4744,I hope that helped.,అది సహాయపడిందని నేను ఆశిస్తున్నాను.
4745,How much more water do we have?,మనకు ఇంకా ఎంత నీరు ఉంది?
4746,I need this to round out my collection.,నా సేకరణను పూర్తి చేయడానికి నాకు ఇది అవసరం.
4747,Please tell the chef it was delicious.,దయచేసి ఇది రుచికరమైనదని చెఫ్‌కు చెప్పండి.
4748,You should return all the library books before the end of the year.,మీరు సంవత్సరం ముగిసేలోపు అన్ని లైబ్రరీ పుస్తకాలను తిరిగి ఇవ్వాలి.
